codigo,denominacion,grupo_generico,clase
04220001,"ELECTROEYACULADOR PARA BOVINOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220050,"ABONADORAS EN GENERAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220240,"AGITADOR MAGNETICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220287,"AGITADOR MECANICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220335,"ALIMENTADOR AUTOMATICO PARA PECES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220431,"ARADOS EN GENERAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220478,"ASTILLADORA FORESTAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220526,BIOFILTRO,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220573,"BOMBA DE PRESION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220621,BRUJULA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04220812,"CAMARA BIOCLIMATICA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221002,"CAMARA CLIMATICA - FITOTRON","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221097,"CAMARA CONSERVADORA DE SEMILLAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221192,"CAMPANA DE CALEFACCION PARA ANIMALES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221383,CARTOSCOPIO,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221573,"CORTADORA DE CESPED","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221668,"CORTADORA/SIERRA DE PRECISION PARA OTOLITOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221763,"CRIADERO DE RAYOS INFRARROJOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221954,"CULTIVADORAS EN GENERAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04221977,"DESCONGELADOR DE PAJUELAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222001,"DESGRANADORA MANUAL DE MAIZ","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222017,"DESHIDRATADORA POR ATOMIZACION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222033,"DESPALILLADORA - TROZADORA DE PLANTAS AROMATICAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222144,"DETERMINADOR DE IMPUREZAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222335,"DETERMINADOR DE INFESTACION POR INSECTOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222525,"DETERMINADOR DE MUESTRAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222715,ECOSONDA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04222906,"ELEVADOR DE GRANOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223001,"ELEVADOR NEUMATICO CON CICLON PARA PLANTAS AROMATICAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223096,"EMPACADORA DE ALGODON","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223191,EPIDIOSCOPE,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223239,"EQUIPO AMAMANTADOR","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223287,"EQUIPO DE AFORO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223350,"EQUIPO DE INSEMINACION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223381,"EQUIPO DE LAVADO Y FUMIGACION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223413,"EQUIPO DE ORDEÑO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223477,"EQUIPO DE RIEGO POR ASPERSION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223667,"EQUIPO DE RIEGO POR GOTEO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223858,"EQUIPO DE RIEGO POR MICRO ASPERSION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04223953,"EQUIPO ELIMINADOR DE ESCAMAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224048,"EQUIPO PARA ANALISIS DE SUELOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224143,"EQUIPO PARA PESCA ELECTRICA - ELECTROFISHER","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224238,ESPOLVOREADOR,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224429,EVAPORIGRAFO,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224524,"FILTRO DE MANGA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224619,FOTOCARTOGRAFO,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04224810,"FUMIGADORAS EN GENERAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225000,"GERMINADOR ELECTRICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225190,"GERMINADOR TERMOSTATICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225285,HILERADORA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225381,"HOMOGENIZADOR DE SEMILLA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225571,HUMIFICADOR,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225762,"INCUBADORA PARA ANIMALES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225857,"LAMPARA SUBMARINA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04225952,"LECTOR REFRACTOMETRO DE AZUCARES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226047,"LIBERADOR ACUSTICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226142,"LIMPIADORA DE SEMILLAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226333,"MAGNIFICADOR DE SEMILLAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226356,"MAQUINA CLASIFICADORA DE CAFE","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226380,"MAQUINA PARA INJERTO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226428,"MAQUINA PELADORA DE POLLOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226429,"MAQUINA PELADORA DE ANIMALES MENORES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226475,"MEZCLADOR HOMOGENIZADOR HORIZONTAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226499,MOTOCULTIVADOR,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226523,MOTOFUMIGADORA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226618,MOTOGUADAÑA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04226713,MOTOPULVERIZADOR,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227094,MOTOSIERRA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227189,"NIVELADOR DE SUELOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227205,"OREADORA DE CAFE","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227221,"PERFILADOR DE CORRIENTES MARINAS ACUSTICO DOPPLER - ADCP","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227253,"PERFILADOR DE TEMPERATURA/CONDUCTIVIDAD/PROFUNDIDAD - CTD","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227285,"PICADORA DE CHALA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227380,"PISTOLA DE SEÑALES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227427,"POLEA HIDRAULICA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227475,"RASTRAS EN GENERAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227570,"RECIRCULADOR DE AGUA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227617,"ROLO CUCHILLA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227665,"SECADORA DE GRANOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04227856,"SEGADORA GIRATORIA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228046,"SELECCIONADORA (OTRAS)","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228237,"SEMBRADORA (OTRAS)","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228427,"SEMBRADORA ABONADORA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228617,"SEPARADOR DE GRANOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228640,"SISTEMA AUTOMATICO DE CONTROL DE ARRASTRE","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228664,"SISTEMA DE DIGESTION POR MICROONDAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228711,"SISTEMA DE FILTRACION","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228758,"SISTEMA DE FILTRO DE ARENA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228770,"SISTEMA DE IDENTIFICACION AUTOMATICA - AIS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
