                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
  1    04220001   ELECTROEYACULADOR PARA BOVINOS                          Unidad
  2    04220050   ABONADORAS EN GENERAL                                   Unidad
  3    04220240   AGITADOR MAGNETICO                                      Unidad
  4    04220287   AGITADOR MECANICO                                       Unidad
  5    04220335   ALIMENTADOR AUTOMATICO PARA PECES                       Unidad
  6    04220431   ARADOS EN GENERAL                                       Unidad
  7    04220478   ASTILLADORA FORESTAL                                    Unidad
  8    04220526   BIOFILTRO                                               Unidad
  9    04220573   BOMBA DE PRESION                                        Unidad
 10    04220621   BRUJULA                                                 Unidad
 11    04220812   CAMARA BIOCLIMATICA                                     Unidad
 12    04221002   CAMARA CLIMATICA - FITOTRON                             Unidad
 13    04221097   CAMARA CONSERVADORA DE SEMILLAS                         Unidad
 14    04221192   CAMPANA DE CALEFACCION PARA ANIMALES                    Unidad
 15    04221383   CARTOSCOPIO                                             Unidad
 16    04221573   CORTADORA DE CESPED                                     Unidad
 17    04221668   CORTADORA/SIERRA DE PRECISION PARA OTOLITOS             Unidad
 18    04221763   CRIADERO DE RAYOS INFRARROJOS                           Unidad
 19    04221954   CULTIVADORAS EN GENERAL                                 Unidad
 20    04221977   DESCONGELADOR DE PAJUELAS                               Unidad
 21    04222001   DESGRANADORA MANUAL DE MAIZ                             Unidad
 22    04222017   DESHIDRATADORA POR ATOMIZACION                          Unidad
 23    04222033   DESPALILLADORA - TROZADORA DE PLANTAS AROMATICAS        Unidad
 24    04222144   DETERMINADOR DE IMPUREZAS                               Unidad
 25    04222335   DETERMINADOR DE INFESTACION POR INSECTOS                Unidad
 26    04222525   DETERMINADOR DE MUESTRAS                                Unidad
 27    04222715   ECOSONDA                                                Unidad
 28    04222906   ELEVADOR DE GRANOS                                      Unidad
 29    04223001   ELEVADOR NEUMATICO CON CICLON PARA PLANTAS AROMATICAS   Unidad
 30    04223096   EMPACADORA DE ALGODON                                   Unidad
 31    04223191   EPIDIOSCOPE                                             Unidad
 32    04223239   EQUIPO AMAMANTADOR                                      Unidad
 33    04223287   EQUIPO DE AFORO                                         Unidad
 34    04223350   EQUIPO DE INSEMINACION                                  Unidad
 35    04223381   EQUIPO DE LAVADO Y FUMIGACION                           Unidad
 36    04223413   EQUIPO DE ORDEÑO                                        Unidad
 37    04223477   EQUIPO DE RIEGO POR ASPERSION                           Unidad
 38    04223667   EQUIPO DE RIEGO POR GOTEO                               Unidad
 39    04223858   EQUIPO DE RIEGO POR MICRO ASPERSION                     Unidad
 40    04223953   EQUIPO ELIMINADOR DE ESCAMAS                            Unidad
 41    04224048   EQUIPO PARA ANALISIS DE SUELOS                          Unidad
 42    04224143   EQUIPO PARA PESCA ELECTRICA - ELECTROFISHER             Unidad
 43    04224238   ESPOLVOREADOR                                           Unidad
 44    04224429   EVAPORIGRAFO                                            Unidad
 45    04224524   FILTRO DE MANGA                                         Unidad
 46    04224619   FOTOCARTOGRAFO                                          Unidad
 47    04224810   FUMIGADORAS EN GENERAL                                  Unidad
 48    04225000   GERMINADOR ELECTRICO                                    Unidad
 49    04225190   GERMINADOR TERMOSTATICO                                 Unidad
 50    04225285   HILERADORA                                              Unidad
 51    04225381   HOMOGENIZADOR DE SEMILLA                                Unidad
 52    04225571   HUMIFICADOR                                                 Unidad
 53    04225762   INCUBADORA PARA ANIMALES                                    Unidad
 54    04225857   LAMPARA SUBMARINA                                           Unidad
 55    04225952   LECTOR REFRACTOMETRO DE AZUCARES                            Unidad
 56    04226047   LIBERADOR ACUSTICO                                          Unidad
 57    04226142   LIMPIADORA DE SEMILLAS                                      Unidad
 58    04226333   MAGNIFICADOR DE SEMILLAS                                    Unidad
 59    04226356   MAQUINA CLASIFICADORA DE CAFE                               Unidad
 60    04226380   MAQUINA PARA INJERTO                                        Unidad
 61    04226428   MAQUINA PELADORA DE POLLOS                                  Unidad
 62    04226429   MAQUINA PELADORA DE ANIMALES MENORES                        Unidad
 63    04226475   MEZCLADOR HOMOGENIZADOR HORIZONTAL                          Unidad
 64    04226499   MOTOCULTIVADOR                                              Unidad
 65    04226523   MOTOFUMIGADORA                                              Unidad
 66    04226618   MOTOGUADAÑA                                                 Unidad
 67    04226713   MOTOPULVERIZADOR                                            Unidad
 68    04227094   MOTOSIERRA                                                  Unidad
 69    04227189   NIVELADOR DE SUELOS                                         Unidad
 70    04227205   OREADORA DE CAFE                                            Unidad
 71    04227221   PERFILADOR DE CORRIENTES MARINAS ACUSTICO DOPPLER - ADCP    Unidad
 72    04227253   PERFILADOR DE TEMPERATURA/CONDUCTIVIDAD/PROFUNDIDAD - CTD   Unidad
 73    04227285   PICADORA DE CHALA                                           Unidad
 74    04227380   PISTOLA DE SEÑALES                                          Unidad
 75    04227427   POLEA HIDRAULICA                                            Unidad
 76    04227475   RASTRAS EN GENERAL                                          Unidad
 77    04227570   RECIRCULADOR DE AGUA                                        Unidad
 78    04227617   ROLO CUCHILLA                                               Unidad
 79    04227665   SECADORA DE GRANOS                                          Unidad
 80    04227856   SEGADORA GIRATORIA                                          Unidad
 81    04228046   SELECCIONADORA (OTRAS)                                      Unidad
 82    04228237   SEMBRADORA (OTRAS)                                          Unidad
 83    04228427   SEMBRADORA ABONADORA                                        Unidad
 84    04228617   SEPARADOR DE GRANOS                                         Unidad
 85    04228640   SISTEMA AUTOMATICO DE CONTROL DE ARRASTRE                   Unidad
 86    04228664   SISTEMA DE DIGESTION POR MICROONDAS                         Unidad
 87    04228711   SISTEMA DE FILTRACION                                       Unidad
 88    04228758   SISTEMA DE FILTRO DE ARENA                                  Unidad
 89    04228770   SISTEMA DE IDENTIFICACION AUTOMATICA - AIS                  Unidad
 90    04228776   SISTEMA DE RECIRCULACION DE AGUA PARA CULTIVO DE PECES      Unidad
 91    04228777   SISTEMA ACUAPONICO                                          Unidad
 92    04228783   SISTEMA DE VIDEO INFRARROJO SUBACUATICO                     Unidad
 93    04228808   SONDA ELECTRONICA                                           Unidad
 94    04228998   SONDA PARA POZO                                             Unidad
 95    04229188   SURCADOR                                                    Unidad
 96    04229283   TANQUE PARA CALENTAR MELAZA                                 Unidad
 97    04229379   TELESONDA                                                   Unidad
 98    04229474   TRAMPA DE SEDIMENTO - MUESTREADOR DE SEDIMENTOS             Unidad
 99    04229569   TRATADORA DE SEMILLAS                                       Unidad
100    04229760   TRILLADORA                                                  Unidad
101    04229950   TRILLADORA DESGRANADORA                                     Unidad
102    04229962   TRITURADORA FORESTAL                                        Unidad
103    04229965   TUNEL DE NATACION RESPIROMETRO                              Unidad
104    04229968   VAGINA ARTIFICIAL DE VACUNO                                 Unidad
105    04229971   VEHICULO SUBMARINO A CONTROL REMOTO                         Unidad
106    04229974   VETEADOR DE GRANOS                                          Unidad

GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             64: MOBILIARIO

 N°     CÓDIGO                                         DENOMINACIÓN           UNIDAD
107    04640050   BASE PARA EQUIPO METEOROLOGICO                              Unidad
108    04642150   BOTELLA NYSKIN                                        Unidad
109    04642450   CAMARA DE FUMIGACION                                  Unidad
110    04642525   ESTANTE DE ACERO INOXIDABLE                           Unidad
111    04642600   ESTANTE DE ALUMINIO                                   Unidad
112    04642750   JUEGO DE TAMICES                                      Unidad
113    04643650   MIRA TOPOGRAFICA                                      Unidad
114    04644550   MUESTRADOR DE GRANOS                                  Unidad
115    04645450   MUESTREADOR DE AGUA PARA POZO                         Unidad
116    04646125   MUESTREADOR DE PLANCTON                               Unidad
117    04646350   MUESTRADOR HIDROLOGICO                                Unidad
118    04646800   ROSETA MUESTREADORA DE AGUA                           Unidad
119    04647250   SOMBRILLA DE TERMOMETRO                               Unidad
120    04648150   TANQUE CRIOGENICO DE METAL                            Unidad
121    04648262   TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT)          Unidad
122    04648375   TANQUE DE AIREACION                                   Unidad
123    04648600   TANQUE METALICO PARA TRANSPORTE DE ALEVINOS           Unidad
124    04649050   TRAMPA DE ESPORA ELECTRICA                            Unidad
125    04649950   VELETA                                                Unidad

GRUPO GENÉRICO    11: AIRE ACONDICIONADO Y REFRIGERACIÓN
CLASE             22: EQUIPO

 N°     CÓDIGO                                           DENOMINACIÓN   UNIDAD
126    11220001   UNIDAD DE VENTILACION DE EQUIPOS DE MEDICION          Unidad
127    11220025   AEROTERMO DISIPADOR DE CALOR                          Unidad
128    11220050   ALIMENTADOR DE AIRE SECO                              Unidad
129    11220248   ARMARIO DE METAL PARA CONSERVACION                    Unidad
130    11220347   BAÑO CIRCULANTE                                       Unidad
131    11220396   BAÑO TERMOSTATICO                                     Unidad
132    11220446   CALEFACTOR                                            Unidad
133    11220512   CALEFON                                               Unidad
134    11220578   CAMARA DE CADAVERES                                   Unidad
135    11220710   CAMARA DE REFRIGERACION                               Unidad
136    11220842   CAMARA FRIGORIFICA                                    Unidad
137    11221040   CAMARA FRIGORIFICA CON PUERTA DE VIDRIO               Unidad
138    11221139   CLIMATIZADOR                                          Unidad
139    11221238   COMPRESOR DOMESTICO                                   Unidad
140    11221634   COMPRESOR INDUSTRIAL                                  Unidad
141    11221678   CONGELADOR (OTROS)                                    Unidad
142    11221722   CONGELADOR CONSERVADOR DE ORGANOS                     Unidad
143    11221766   CONGELADOR DE DIOXIDO DE CARBONO (CO2)                Unidad
144    11221810   CONGELADOR DE GLOBULOS ROJOS                          Unidad
145    11221854   CONGELADOR DE NITROGENO                               Unidad
146    11221898   CONGELADOR DE PLASMA                                  Unidad
147    11221920   CONGELADOR FOTOVOLTAICO                               Unidad
148    11221942   CONGELADOR PARA REACTIVOS                             Unidad
149    11221986   CONGELADOR PARA SANGRE                                Unidad
150    11222030   CONGELADORA ELECTRICA HORIZONTAL                      Unidad
151    11222426   CONGELADORA ELECTRICA VERTICAL                        Unidad
152    11222624   CONSERVADOR PARA SANGRE                               Unidad
153    11222673   CORTINA DE AIRE                                       Unidad
154    11222723   CORTINA DE ENFRIAMIENTO                               Unidad
155    11222747   DESHUMEDECEDOR                                        Unidad
156    11222822   DESHUMEDECEDOR PARA AMBIENTE TIPO COMERCIAL           Unidad
157    11223218   DESHUMEDECEDOR PARA AMBIENTE TIPO INDUSTRIAL          Unidad
158    11223317   ENFRIADOR DE AIRE                                     Unidad
159    11223366   EQUIPO DE AIRE ACONDICIONADO DE PRECISION             Unidad
